mmsi,latitude_deg,longitude_deg,utc_s,ground_ms,azimuth_deg,valid,datetime,speed_knots
ship_120,81.89136505126953,68.92424774169922,1738873381,7673,245.08497619628903,True,2025-02-06 20:23:01,14.92
ship_120,74.85425567626953,145.7209014892578,1738962270,7679,329.8648376464844,True,2025-02-07 21:04:30,14.93
ship_120,81.72550964355469,104.7755889892578,1738963912,7674,297.2004089355469,True,2025-02-07 21:31:52,14.92
ship_120,78.89368438720703,27.172090530395508,1738964126,7674,222.0712432861328,True,2025-02-07 21:35:26,14.92
ship_120,-16.46070098876953,-147.71224975585938,1739040037,7698,348.7696838378906,True,2025-02-08 18:40:37,14.96
ship_120,76.79669189453125,170.56529235839844,1739041538,7679,325.2821655273437,True,2025-02-08 19:05:38,14.93
ship_120,80.39879608154297,65.39952087402344,1739043407,7674,230.35574340820312,True,2025-02-08 19:36:47,14.92
ship_120,81.72333526611328,140.29135131835938,1739128205,7674,297.2661437988281,True,2025-02-09 19:10:05,14.92
ship_120,78.93948364257812,62.818153381347656,1739128419,7674,222.26052856445312,True,2025-02-09 19:13:39,14.92
ship_120,77.96697235107422,179.20440673828125,1739211338,7679,321.5998840332031,True,2025-02-10 18:15:38,14.93
ship_120,82.65785217285156,115.57131958007812,1739213248,7674,267.43292236328125,True,2025-02-10 18:47:28,14.92
ship_120,77.05461883544922,61.45783615112305,1739213462,7676,215.4464569091797,True,2025-02-10 18:51:02,14.92
ship_120,79.51828002929688,23.203468322753903,1739592668,7675,314.96148681640625,True,2025-02-15 04:11:08,14.92
ship_121,80.11024475097656,69.36526489257812,1738782783,7674,228.4482879638672,True,2025-02-05 19:13:03,14.92
ship_121,81.86436462402344,68.51646423339844,1738873382,7673,244.68942260742188,True,2025-02-06 20:23:02,14.92
ship_121,74.90939331054688,145.59800720214844,1738962271,7679,329.75421142578125,True,2025-02-07 21:04:31,14.93
ship_121,81.75440979003906,104.38101959228516,1738963913,7674,296.8182373046875,True,2025-02-07 21:31:53,14.92
ship_121,78.84635925292969,26.95162010192871,1738964127,7674,221.8630828857422,True,2025-02-07 21:35:27,14.92
ship_121,-16.39735984802246,-147.7252960205078,1739040038,7698,348.7710876464844,True,2025-02-08 18:40:38,14.96
ship_121,76.84906005859375,170.40574645996094,1739041539,7679,325.135009765625,True,2025-02-08 19:05:39,14.93
ship_121,80.35807800292969,65.10693359375,1739043408,7674,230.0753326416016,True,2025-02-08 19:36:48,14.92
ship_121,81.75230407714844,139.89706420898438,1739128206,7674,296.8841247558594,True,2025-02-09 19:10:06,14.92
ship_121,78.89229583740234,62.595951080322266,1739128420,7674,222.0503692626953,True,2025-02-09 19:13:40,14.92
ship_121,78.01688385009766,179.0137176513672,1739211339,7679,321.42138671875,True,2025-02-10 18:15:39,14.93
ship_121,82.65473937988281,115.07408142089844,1739213249,7674,266.9481506347656,True,2025-02-10 18:47:29,14.92
ship_121,77.05461883544922,61.45783615112305,1739213463,7676,215.4464569091797,True,2025-02-10 18:51:03,14.92
ship_121,79.56317138671875,22.954883575439453,1739592669,7675,314.72528076171875,True,2025-02-15 04:11:09,14.92
ship_122,80.06792449951172,69.08916473388672,1738782784,7674,228.1845550537109,True,2025-02-05 19:13:04,14.92
ship_122,81.83696746826172,68.1113510131836,1738873383,7673,244.29669189453125,True,2025-02-06 20:23:03,14.92
ship_122,74.9644546508789,145.47422790527344,1738962272,7679,329.64276123046875,True,2025-02-07 21:04:32,14.93
ship_122,81.7829360961914,103.9837417602539,1738963914,7674,296.43316650390625,True,2025-02-07 21:31:54,14.92
ship_122,78.79888153076172,26.73295783996582,1738964128,7674,221.65684509277344,True,2025-02-07 21:35:28,14.92
ship_122,-16.334020614624023,-147.73831176757812,1739040039,7698,348.7723693847656,True,2025-02-08 18:40:39,14.96
ship_122,76.90133666992188,170.24497985839844,1739041540,7679,324.9866027832031,True,2025-02-08 19:05:40,14.93
ship_122,80.31710815429688,64.81673431396484,1739043409,7674,229.79876708984372,True,2025-02-08 19:36:49,14.92
ship_122,81.78089141845703,139.50009155273438,1739128207,7674,296.49957275390625,True,2025-02-09 19:10:07,14.92
ship_122,78.8449478149414,62.37557601928711,1739128421,7674,221.8421936035156,True,2025-02-09 19:13:41,14.92
ship_122,78.06668090820312,178.82147216796875,1739211340,7679,321.24151611328125,True,2025-02-10 18:15:40,14.93
ship_122,82.65108489990234,114.57730102539062,1739213250,7674,266.463623046875,True,2025-02-10 18:47:30,14.92
ship_122,77.05461883544922,61.45783615112305,1739213464,7676,215.4464569091797,True,2025-02-10 18:51:04,14.92
ship_122,79.60787963867188,22.704214096069336,1739592670,7675,314.48687744140625,True,2025-02-15 04:11:10,14.92
ship_123,80.02538299560547,68.81535339355469,1738782785,7674,227.92315673828125,True,2025-02-05 19:13:05,14.92
ship_123,81.80917358398438,67.70892333984375,1738873384,7673,243.90676879882807,True,2025-02-06 20:23:04,14.92
ship_123,75.01945495605469,145.34962463378906,1738962273,7679,329.5304260253906,True,2025-02-07 21:04:33,14.93
ship_123,81.81108093261719,103.58375549316406,1738963915,7674,296.0456237792969,True,2025-02-07 21:31:55,14.92
ship_123,78.75125122070312,26.516084671020508,1738964129,7674,221.4523162841797,True,2025-02-07 21:35:29,14.92
ship_123,-16.270679473876953,-147.75132751464844,1739040040,7698,348.77374267578125,True,2025-02-08 18:40:40,14.96
ship_123,76.95352172851562,170.08299255371094,1739041541,7679,324.8368225097656,True,2025-02-08 19:05:41,14.93
ship_123,80.27591705322266,64.52892303466797,1739043410,7674,229.522705078125,True,2025-02-08 19:36:50,14.92
ship_123,81.80909729003906,139.1003875732422,1739128208,7674,296.1122436523437,True,2025-02-09 19:10:08,14.92
ship_123,78.79745483398438,62.157005310058594,1739128422,7674,221.63612365722656,True,2025-02-09 19:13:42,14.92
ship_123,78.11634826660156,178.62770080566406,1739211341,7679,321.0601501464844,True,2025-02-10 18:15:41,14.93
ship_123,82.64689636230469,114.08103942871094,1739213251,7674,265.97930908203125,True,2025-02-10 18:47:31,14.92
ship_123,77.05461883544922,61.45783615112305,1739213465,7676,215.4464569091797,True,2025-02-10 18:51:05,14.92
ship_123,79.65239715576172,22.45144271850586,1739592671,7675,314.2464294433594,True,2025-02-15 04:11:11,14.92
ship_124,79.98263549804688,68.54380798339844,1738782786,7674,227.66380310058597,True,2025-02-05 19:13:06,14.92
ship_124,81.781005859375,67.3091812133789,1738873385,7673,243.5193023681641,True,2025-02-06 20:23:05,14.92
ship_124,75.07440185546875,145.22413635253906,1738962274,7679,329.4172668457031,True,2025-02-07 21:04:34,14.93
ship_124,81.83882141113281,103.18109130859376,1738963916,7674,295.6552734375,True,2025-02-07 21:31:56,14.92
ship_124,78.7034683227539,26.300981521606445,1738964130,7674,221.2494659423828,True,2025-02-07 21:35:30,14.92
ship_124,-16.20733642578125,-147.76434326171875,1739040041,7698,348.77508544921875,True,2025-02-08 18:40:41,14.96
ship_124,77.00560760498047,169.9197540283203,1739041542,7679,324.6858825683594,True,2025-02-08 19:05:42,14.93
ship_124,80.2344741821289,64.24345397949219,1739043411,7675,229.2506561279297,True,2025-02-08 19:36:51,14.92
ship_124,81.8369140625,138.69801330566406,1739128209,7674,295.7221984863281,True,2025-02-09 19:10:09,14.92
ship_124,78.74980163574219,61.94021987915039,1739128423,7674,221.431396484375,True,2025-02-09 19:13:43,14.92
ship_124,78.16588592529297,178.43235778808594,1739211342,7679,320.87701416015625,True,2025-02-10 18:15:42,14.93
ship_124,82.64216613769531,113.58535766601562,1739213252,7674,265.49658203125,True,2025-02-10 18:47:32,14.92
ship_124,77.05461883544922,61.45783615112305,1739213466,7676,215.4464569091797,True,2025-02-10 18:51:06,14.92
